model_id,name,sport,instagram_handle,profile_url,followers
191515b1-92bf-48e7-91a6-e0042f9927e7,Alex Iwobi,Football,alexanderiwobi,https://www.instagram.com/alexanderiwobi/,
0e33a8e1-a5bc-4b49-a0c6-44783571cc7d,Amario Cozier Duberry,Football,cozierduberry,https://www.instagram.com/cozierduberry/,
be359cf5-d093-4568-a99d-1ce8c013a0fe,Aurele Amenda,Football,aureleamenda,https://www.instagram.com/aureleamenda/,
07e26205-a979-4143-b268-94125f60d3c1,Ben Chilwell,Football,benchilwell,https://www.instagram.com/benchilwell/,
87f4be39-af8e-452a-85c7-d401a9181234,Brandon Hanlan,Football,b_hanlan,https://www.instagram.com/b_hanlan/,
85d66474-c5f8-4a80-b827-69aba5398a4d,Callum Hudson Odoi,Football,calteck10,https://www.instagram.com/calteck10/,
9dd2aaa5-826e-4925-9477-37111fb1f821,Carlton Cole,Football,iamcarltoncole12,https://www.instagram.com/iamcarltoncole12/,
f4682889-1866-4e74-87ab-28483cc8c4de,Clinton Mola,Football,clintonmola,https://www.instagram.com/clintonmola/,
b375bced-c19a-431f-9b5e-0f08885eaffd,Courtney Senior,Football,courtneyseniorr,https://www.instagram.com/courtneyseniorr/,
358f2e0c-a782-46e1-bab5-e61eb6e8d2f1,Daniel Udoh,Football,d_udoh,https://www.instagram.com/d_udoh/,
bd4c528f-fd15-4ccc-a1a0-350e036e4882,Dominic Solanke,Football,solanke,https://www.instagram.com/solanke/,
fad7976b-2809-464e-9f63-c539cd2b5919,Drew Spence,Football,_spence23,https://www.instagram.com/_spence23/,
64fd5b98-a218-41c0-a3c8-f0eb10014e05,Dujon Sterling,Football,dujonsterling1,https://www.instagram.com/dujonsterling1/,
27dcd78e-567b-47fc-bca6-5312ba523822,Elijah Adebayo,Football,eadebayo_,https://www.instagram.com/eadebayo_/,
02d1a9ef-5c42-41f7-85b1-3e4bf5883563,Emmanuel Dennis,Football,,,
e26a452d-539b-463a-9be3-302c1a9b0680,Ezri Konsa,Football,ezrikonsa,https://www.instagram.com/ezrikonsa/,
25f10949-29c4-4929-9ab2-9126659f2687,Fikayo Tomori,Football,fikayotomori,https://www.instagram.com/fikayotomori/,
c0474130-4a6e-47a6-a25a-7930bf307583,Gboly Ariyibi,Football,gbolyariyibi,https://www.instagram.com/gbolyariyibi/,
ed1f3973-e766-468e-8a3d-329303f05cb9,Hakeeb Adelakun,Football,hakeeb_adelakun,https://www.instagram.com/hakeeb_adelakun/,
c8240803-81eb-4afc-81ff-69457fd136e1,Ike Ugbo,Football,ikeugbo,https://www.instagram.com/ikeugbo/,
93310056-c43b-4bec-9e6b-eb388fcec342,Izzy Jay Brown,Football,izzyjaybrown,https://www.instagram.com/izzyjaybrown/,
d97bda9d-1faa-42dd-b3b7-c1aebc2b2bed,Jack Stacey,Football,jackstacey_,https://www.instagram.com/jackstacey_/,
c00eaa59-a86a-4262-9132-c6d0c2918207,Jaden Brown,Football,jadenbrowner,https://www.instagram.com/jadenbrowner/,
02a633dd-5b83-4bdb-9c49-1b7366bf40cb,Jake Beesley,Football,,,
aab0b881-0c01-4c17-89c3-e936435d2bff,Jayden Bogle,Football,jaydenbogle37,https://www.instagram.com/jaydenbogle37/,
4aba9db6-000f-46c6-a537-fa61b137f732,Joao Felix,Football,joaofelix79,https://www.instagram.com/joaofelix79/,
db0e0e7e-1016-4d6f-a0cf-1bb27b1f4f5d,Jodi Jones,Football,jodijoness,https://www.instagram.com/jodijoness/,
770c04f9-7950-4198-8372-898209238f7b,Joe Aribo,Football,j.aribo_,https://www.instagram.com/j.aribo_/,
b8641390-2ccc-492d-a055-df07a1705675,Joe Willock,Football,joewillock,https://www.instagram.com/joewillock/,
676ea0b6-9c41-4e6e-af69-1d4760c563e8,Joel Monteiro,Football,joel_amm,https://www.instagram.com/joel_amm/,
ccc23925-8be9-4b85-9d7e-d9c97404409c,Jonathan Haggerty,Muay Thai,jonnyhaggerty,https://www.instagram.com/jonnyhaggerty/,
81196dca-971f-4921-b30b-e328cd515031,Jonathan Panzo,Football,jonathan_panzo,https://www.instagram.com/jonathan_panzo/,
a5644733-37ac-4a85-aebc-5e7c59c80981,Joshua Onomah,Football,joshuaonomah,https://www.instagram.com/joshuaonomah/,
32e611b5-e382-4d85-90b7-01d51f63c1dc,Junior Ebimbe,Football,dinajr23,https://www.instagram.com/dinajr23/,
f192135e-76b4-4fb1-a13e-eda897f00321,Kayne Ramsay,Football,kayneramsay,https://www.instagram.com/kayneramsay/,
6efaeda4-da33-4a3e-9810-5816b87148d0,Kevin Danso,Football,kevin.danso,https://www.instagram.com/kevin.danso/,
1fccc96f-970f-4a2f-8db5-77c323e41ba6,Kye Whyte,BMX,kyewhyte,https://www.instagram.com/kyewhyte/,
614a9d48-0d7f-45dd-be75-f13ec63956ea,Kyle Walkers Peters,Football,kwp,https://www.instagram.com/kwp/,
dfeecdad-0747-4afc-a84b-c441e96c6e1f,Kyle Wootton,Football,kyle_wootton_19,https://www.instagram.com/kyle_wootton_19/,
5c981799-c83b-4268-851e-9ca810000b70,Laurence Maguire,Football,lozmaguire97,https://www.instagram.com/lozmaguire97/,
192b12f2-5987-45ba-aef6-6a58ea0eb4f6,Liam Kelly,Football,liamkelly_1,https://www.instagram.com/liamkelly_1/,
4a4e382b-9aec-4018-a899-e92a8268cd78,Luke Mbete,Football,lukembete,https://www.instagram.com/lukembete/,
f38300e9-5db4-4a69-9c3b-b68ef7f93521,Mandela Egbo,Football,mandela_e,https://www.instagram.com/mandela_e/,
ed20a232-531e-48e2-9c12-08d14bb3d614,Manny Monthe,Football,m.monthe,https://www.instagram.com/m.monthe/,
41e90eee-a14a-48bd-be05-29ca7639e583,Marcus Edwards,Football,marcusedwards10,https://www.instagram.com/marcusedwards10/,
fb1df05a-65c9-4927-94f1-19f0c1670952,Mario Lemina,Football,lemsm13,https://www.instagram.com/lemsm13/,
4dd7da72-7fe6-4f96-8c9d-0961e5e23d34,Max Aarons,Football,maxaarons2,https://www.instagram.com/maxaarons2/,
0c7dffa7-358a-465d-b80c-8fafcd3c91f6,Michael Obafemi,Football,obafemz,https://www.instagram.com/obafemz/,
13732dd6-f490-451a-a23e-74c633d67b37,Michee Efete,Football,micheegram,https://www.instagram.com/micheegram/,
2d307ce2-fd8e-4544-93ee-65126fc5544c,Miles Welch Hayes,Football,mileswelchhayes,https://www.instagram.com/mileswelchhayes/,
9503b337-787d-4a0f-845e-f0019e2b2eb9,Mukhtar Ali,Football,mukhtarali,https://www.instagram.com/mukhtarali/,
073aa4d4-7199-4e7b-8db3-fc3dad7ff3c7,Naouir Ahamada,Football,naouirahamada,https://www.instagram.com/naouirahamada/,
ba3048a5-cd5d-44e8-a9b3-5648e6eee804,Ola Aina,Football,olaaina,https://www.instagram.com/olaaina/,
dbd914b3-1114-4cc8-b361-d0ea73e2ac8d,Omari Patrick,Football,o.patrick_,https://www.instagram.com/o.patrick_/,
d64bda3c-b508-429e-bad7-2c8a316c1179,Orel Mangala,Football,j_mangala8,https://www.instagram.com/j_mangala8/,
7095c7dd-8604-4558-9931-72ef35609dcf,Pelly Ruddock,Football,mcruddin,https://www.instagram.com/mcruddin/,
a74a643d-1fe1-4e46-8d01-2e7a4ae146a2,Reece Oxford,Football,reeceoxford,https://www.instagram.com/reeceoxford/,
cd5f162e-6243-4e80-9a23-7392fa428d79,Regan Charles Cook,Football,regancc_,https://www.instagram.com/regancc_/,
da79ecc1-6277-4d7d-9aca-415b61b10e9c,Rhian Brewster,Football,rhianbrewster,https://www.instagram.com/rhianbrewster/,
c351dc31-4b8f-4c4b-9fb6-289febe44fb1,Romaine Mundle,Football,mundle4,https://www.instagram.com/mundle4/,
23479b9b-2d2a-4777-baa8-28416f012670,Ryan Mmaee,Football,mmaeestro,https://www.instagram.com/mmaeestro/,
52979a88-77fb-48ba-8074-6fde39bacf4d,Samuel Bastien,Football,samuelbastien28,https://www.instagram.com/samuelbastien28/,
b21cc2bc-5984-422b-9c84-4080df9fb8c8,Samy Mmaee,Football,smmaee,https://www.instagram.com/smmaee/,
fedeb65b-1a27-46f2-9488-c17b02265a7e,Sean Clare,Football,sean_clare10,https://www.instagram.com/sean_clare10/,
a64a4fc6-12d9-4646-b0bc-3ec7e36222c2,Tammy Abraham,Football,tammyabraham,https://www.instagram.com/tammyabraham/,
8422d55e-696b-4068-b917-8c362491782e,Tanguy Coulibaly,Football,t.coulibaly7,https://www.instagram.com/t.coulibaly7/,
b5f8833d-efbe-49c8-a063-00137232927a,Tim Iroegbunam,Football,tim.iro8,https://www.instagram.com/tim.iro8/,
b57c6587-1d72-47ee-8176-ebeb020658c3,Tom McIntyre,Football,tom5mc,https://www.instagram.com/tom5mc/,
39a6b715-b6df-4df5-9b42-f8e57402400f,Tosin Adarabioyo,Football,tosinadarabioyo,https://www.instagram.com/tosinadarabioyo/,
478327c4-399d-4ab9-80ad-fd626cb6ef7e,Tyrhys Dolan,Football,t.dolan,https://www.instagram.com/t.dolan/,
7c7562ad-2ead-48f5-bec6-03412ae94339,Viv Solomon - Otabor,Football,vivsolomonn,https://www.instagram.com/vivsolomonn/,
